Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
HDO	Water	0.01616500, 0.01616500	8(6,2)-8(6,3)	-12.66340		1105.0032	1589.8440	JPL
HDO	Water	0.03548910, 0.03548910	6(5,1)-6(5,2)	-11.19580		709.1664	1020.3264	JPL
HDO	Water	0.05461830, 0.05461830	4(4,0)-4(4,1)	-10.21260		402.3290	578.8584	JPL
HDO	Water	0.07937580, 0.07937580	9(6,3)-9(6,4)	-11.62210		1244.4371	1790.4571	JPL
HDO	Water	0.10315050, 0.10315050	12(7,5)-12(7,6)	-12.83700		1942.3733	2794.6258	JPL
HDO	Water	0.20991350, 0.20991350	7(5,2)-7(5,3)	-9.94330		818.0064	1176.9220	JPL
HDO	Water	0.31039270, 0.31039270	10(6,4)-10(6,5)	-10.80680		1399.4502	2013.4851	JPL
HDO	Water	0.33336330, 0.33336330	13(7,6)-13(7,7)	-12.27220		2142.8322	3083.0398	JPL
HDO	Water	0.48652800, 0.48652800	5(4,1)-5(4,2)	-8.56600		480.2425	690.9579	JPL
HDO	Water	0.82467060, 0.82467060	3(3,0)-3(3,1)	-7.63970		233.0237	335.2672	JPL
HDO	Water	0.89230920, 0.89230920	8(5,3)-8(5,4)	-9.00340		942.5322	1356.0858	JPL
HDO	Water	0.96419090, 0.96419090	14(7,7)-14(7,8)	-11.83430		2358.7089	3393.6364	JPL
HDO	Water	1.02614460, 1.02614460	11(6,5)-11(6,6)	-10.16670		1570.0617	2258.9556	JPL
H2Ov2,2v2,v1,v3	Water	2.15998000, 2.15998000	4(2,2),v2=1-5(1,5),v2=1	-11.16300		1922.8291	2766.5258	JPL
HDO	Water	2.39456000, 2.39456000	6(4,2)-6(4,3)	-7.45360		573.8905	825.6957	JPL
HDO	Water	2.54002350, 2.54002350	15(7,8)-15(7,9)	-11.50860		2589.9886	3726.3944	JPL
HDO	Water	2.97427270, 2.97427270	12(6,6)-12(6,7)	-9.67130		1756.2856	2526.8887	JPL
HDO	Water	3.04471000, 3.04471000	9(5,4)-9(5,5)	-8.28220		1082.7849	1557.8770	JPL
HDO	Water	3.29675890, 3.29675890	5(0,5)-4(2,2)	-8.71050		221.8361	319.1708	JPL
H2Ov2,2v2,v1,v3	Water	3.50138710, 3.50138710	5(2,3),v1=1-6(1,6),v1=1	-15.12160		4095.8033	5892.9551	JPL
H2Ov2,2v2,v1,v3	Water	4.58193900, 4.58193900	5(2,3),v3=1-6(1,6),v3=1	-15.63830		4195.8181	6036.8543	JPL
H2Ov2,2v2,v1,v3	Water	5.48215050, 5.48215050	10(1,9),v3=1-10(5,6),v2=2	-18.57540		5027.0739	7232.8476	JPL
H218Ov=0	Water	5.62514700, 5.62514700	6(1,6)-5(2,3)	-7.11970		445.1585	640.4801	JPL
HDO	Water	5.70278000, 5.70278000	4(3,1)-4(3,2)	-6.20630		295.4872	425.1377	JPL
H2Ov2,2v2,v1,v3	Water	5.84052370, 5.84052370	5(1,5),v1=1-4(1,4),v3=1	-16.12990		3977.2616	5722.3998	JPL
HDO	Water	6.17296480, 6.17296480	16(7,9)-16(7,10)	-11.28430		2836.6466	4081.2782	JPL
